#{"t_start": 1707671988.3082397, "env_id": "highway-v0"}
r,l,t,distance_covered
508.913061,518,2.721965,4079.491357450941
25.226687,27,2.912357,185.42183162102458
20.195585,22,3.021552,146.45205766981184
20.198782,22,3.109682,146.687837254322
508.682948,519,5.987766,4087.245902661448
33.275318,35,6.194649,246.60686844013674
20.198421,22,6.313663,146.64000850909173
507.113569,519,8.979995,4085.3481613627614
506.09284,518,11.588308,4080.086847270443
506.936696,519,14.302395,4086.9023794545315
507.075695,518,16.950206,4078.539290376574
509.647758,519,19.665559,4084.332263457934
11.265409,13,19.717165,76.96197806303846
11.270429,13,19.775006,77.11308799461827
20.197945,22,19.916556,146.59352969616347
20.198438,22,20.031901,146.6423427288881
20.182303,22,20.154695,146.71279803985672
508.947023,519,22.940251,4085.7136632057964
505.997626,518,25.616744,4080.0913639823466
506.092891,518,28.287345,4080.1064982276075
507.810145,518,31.011544,4079.8013273680294
507.513659,518,33.871181,4080.0145768173716
508.35868,518,36.768736,4080.5196348726286
59.281106,63,37.249503,461.21355008485295
11.266651,13,37.362891,77.15478894705512
27.275668,29,37.533813,200.1211147638076
13.274988,15,37.686833,91.50868974838784
509.097892,519,40.904732,4084.118237713798
507.596082,518,43.763327,4078.868432456142
20.198701,22,43.93724,146.67694993788052
57.331193,61,44.285352,445.65735453586126
506.885945,519,46.988372,4086.828873012715
39.111834,42,47.159944,300.87215523422134
506.326895,518,49.939975,4080.421343909978
43.992788,47,50.277844,338.95837078700896
46.832838,50,50.559722,362.8968525034128
511.538019,519,53.451088,4086.880244037099
46.274253,49,53.746433,354.66420692670914
507.503005,519,56.838354,4086.5571870493336
507.479995,519,59.826901,4084.1443396160803
508.120584,519,63.157758,4085.2809873088363
509.747617,519,66.635461,4085.5025675768507
508.658539,518,69.085517,4080.139918798439
506.030904,518,71.571903,4080.1219255578862
54.583165,58,71.813423,424.9314416983391
20.196208,22,71.936486,146.48896661250333
20.196966,22,72.062601,146.5342595612553
23.225621,25,72.202646,169.87427223139596
508.225409,518,74.868507,4080.7418720854057
507.933096,519,77.496683,4086.141694594975
506.031763,518,80.070389,4080.078862173665
47.814822,51,80.311012,369.87732244352287
507.447509,519,82.74117,4083.844926825982
505.997624,518,85.238185,4080.0847152481065
508.213522,519,87.633492,4085.8707495446724
508.414272,518,90.012383,4077.3838998371325
20.19722,22,90.09779,146.54955079377885
509.713745,519,92.753295,4085.4174002202135
509.220095,519,95.84636,4086.85133160954
48.069034,51,96.265409,369.2984682792518
509.547062,519,98.918943,4085.524479100568
509.940119,519,101.227273,4086.3943659843553
20.195474,22,101.343972,146.44554979443325
507.696819,519,103.622447,4085.5088380292823
20.195317,22,103.721454,146.43631076370787
20.182176,22,103.868898,146.69581163250723
507.427974,519,106.173219,4086.260776193939
21.276229,23,106.322026,153.57099606883895
507.069269,519,108.546669,4087.006707214726
20.198184,22,108.644044,146.6090628328767
506.727792,518,110.782896,4078.592415221194
508.863194,518,112.939039,4079.378988645275
29.196074,31,113.069112,216.49772040394743
11.272615,13,113.190274,77.09964734215379
509.619954,519,115.504013,4087.2484823219766
507.247458,519,117.894634,4085.8759709889637
507.064042,519,120.210162,4085.352892530228
510.545484,519,122.492409,4086.715325138404
56.227433,59,122.707603,432.04818766268835
509.430529,519,124.959589,4086.1457452703885
41.258476,43,125.191502,308.49053377509586
11.270664,13,125.249578,77.06594996030282
13.278616,15,125.34237,91.71184567489911
510.497724,519,127.594942,4084.878780113734
509.330965,519,129.887298,4085.2996225940037
11.272745,13,129.942686,77.04769177441747
510.484723,519,132.466435,4087.642937500391
507.064054,519,134.87868,4085.3600673124097
507.28006,519,137.231268,4083.924142128631
20.198686,22,137.326168,146.67505004437945
506.076463,518,139.552484,4080.094153229281
20.182657,22,139.694177,146.760508051669
509.531067,519,142.060814,4084.1974449019613
507.08061,519,144.81925,4087.390918276497
11.254408,13,144.878554,77.1364997904403
507.28087,518,147.302413,4077.649044831315
20.195317,22,147.452964,146.43632056604173
13.27572,15,147.523471,91.52646679908835
11.284519,13,147.579421,77.16990018601362
507.664965,518,149.938582,4079.7796803093443
