#{"t_start": 1707672314.883429, "env_id": "highway-v0"}
r,l,t,distance_covered
39.436584,53,0.153476,219.26206631377246
39.273486,53,0.283863,218.73546380026517
40.469186,54,0.413896,222.97889547735588
38.802476,52,0.54513,216.1442564008755
40.174537,54,0.67155,222.83771237855692
38.707932,52,0.801626,215.83766324207005
40.170985,54,0.945757,222.76316366060735
39.763125,53,1.068087,220.29882387708528
38.085182,51,1.199883,212.90512207627958
38.708871,52,1.329504,215.85590475398118
38.795809,52,1.452598,216.31860472087428
38.791914,52,1.588464,216.23882545535832
38.804921,52,1.712363,216.1975576275641
39.271805,53,1.84315,218.70279772327694
40.005082,54,1.994821,222.18626899433178
39.436961,53,2.124649,219.26966713403732
38.803838,52,2.245183,216.17393827688312
39.437156,53,2.389732,219.595125047723
38.717642,52,2.526095,216.0266002885266
39.514127,53,2.657364,219.8848889626576
39.538132,53,2.789596,219.69254131772908
39.428353,53,2.916638,219.41724111272225
39.282044,53,3.058016,218.59315335362552
39.023444,52,3.188172,216.61236732741773
39.756466,53,3.315259,220.14975697441423
39.768871,53,3.443599,220.06934434724303
38.540894,52,3.567541,215.26070933969652
38.999375,52,3.696069,216.16920603215863
40.173371,54,3.848348,222.81324020341117
39.285099,53,3.974156,218.6523899811904
38.792372,52,4.104357,216.2481950055951
39.741021,53,4.252112,219.55488559956032
39.733817,53,4.374798,219.76711384891487
39.763533,53,4.502331,220.30797490427594
38.994834,52,4.65224,216.06399801587676
39.0259,52,4.78512,216.66520692504224
39.022446,52,4.910512,216.590906714911
39.512762,53,5.038729,219.8557654698774
38.803175,52,5.167451,216.15949333039816
38.701779,52,5.305366,216.04648555593377
39.999811,54,5.440655,222.08001845345126
39.024509,52,5.56636,216.63526862768197
39.438798,53,5.710474,219.30673103663972
38.80572,52,5.843209,216.2149856234254
39.007874,52,5.973614,216.0222754004355
39.282923,53,6.106127,218.61018840674973
38.532921,52,6.229282,215.1114105905408
39.03114,52,6.352518,216.77777317194474
39.287623,53,6.49861,218.7013585352379
39.742938,53,6.626141,219.60091523728343
39.732495,53,6.751958,219.7353286004003
39.727329,53,6.886356,219.61119357530953
39.733962,53,7.014565,219.7705994397889
39.429746,53,7.154826,219.44536815818222
40.002891,54,7.296146,222.14214239567426
39.757612,53,7.415081,220.17540004932783
38.802328,52,7.546073,216.14101908257123
39.431538,53,7.683538,219.48157882415924
40.001424,54,7.823727,222.1125558629069
39.51386,53,7.970583,219.87918827338586
39.760975,53,8.108225,220.25067972161673
40.174661,54,8.236537,222.84032204646422
40.17231,54,8.378922,222.7909623775602
40.468308,54,8.510562,222.9568335986908
38.533159,52,8.633192,215.11586628543668
39.02057,52,8.803037,216.5505566832943
39.766706,53,8.93132,220.02096520347274
38.701488,52,9.051902,216.04084207932937
39.261465,53,9.198809,218.8257582478654
38.800059,52,9.324481,216.40564904096843
39.280671,53,9.448039,218.56652404328065
37.98559,51,9.5927,212.53789296899862
39.441543,53,9.731504,219.3620995975332
39.732367,53,9.859227,219.732260718672
39.000209,52,9.99927,216.18854009761026
39.728284,53,10.131666,219.63413273349767
38.70964,52,10.255968,215.87085708305466
38.70931,52,10.385594,215.86443256593805
40.25187,54,10.514402,223.1385229505762
39.999715,54,10.657473,222.07808518357132
39.006411,52,10.797325,215.98570988740863
39.760719,53,10.926534,220.24495469501434
38.70902,52,11.055121,215.8588050083876
38.29665,51,11.18961,213.21683310318656
39.998866,54,11.314699,222.06095264510867
39.524935,53,11.444224,219.77499366403333
38.54253,52,11.581593,215.29132250729327
39.435439,53,11.713133,219.560412753831
39.272811,53,11.854944,218.72233550566625
39.439535,53,11.978336,219.32158477918315
39.441677,53,12.104192,219.36480250472744
39.262771,53,12.248931,218.85114453407874
38.547673,52,12.378609,215.09914715636404
39.765049,53,12.509897,219.98395769970884
39.031432,52,12.638453,216.78401831731878
39.025852,52,12.772708,216.66416083083254
38.7022,52,12.908097,216.05466870756518
38.723467,52,13.038681,215.84773338141602
39.767289,53,13.165913,220.03399669641772
38.702463,52,13.30437,216.05977780337204
