#{"t_start": 1707687266.4709947, "env_id": "highway-v0"}
r,l,t,distance_covered
7.789236,10,0.041527,56.390069791513724
4.594346,6,0.06863,32.68719045055829
7.789236,10,0.111792,56.390069791513724
7.789236,10,0.150069,56.390069791513724
7.641611,10,0.181302,55.03835157478261
5.163024,7,0.203844,37.561443085700375
5.163024,7,0.223844,37.56501940441237
5.163024,7,0.242074,37.56183129480149
7.789236,10,0.265977,56.390069791513724
7.636701,10,0.289878,54.88600254456807
4.592896,6,0.310954,32.6502619598119
4.594648,6,0.327258,32.6970358246767
7.789236,10,0.350872,56.39006979151375
7.570318,10,0.375232,54.90017742068122
5.163024,7,0.39401,37.58099406225958
5.163024,7,0.413903,37.56224221659804
7.596182,10,0.438436,54.70344616889855
5.163024,7,0.456773,37.56845404228511
5.361767,7,0.475117,38.19740298823663
7.789236,10,0.502929,56.390069791513724
7.645852,10,0.535626,54.95095979692044
7.639985,10,0.56019,55.02696967815888
5.363819,7,0.579431,38.211070032714474
6.5883,9,0.600442,48.17000422710623
5.163024,7,0.623651,37.56932901240563
4.593288,6,0.642359,32.65920162640282
4.594783,6,0.660944,32.70192801719625
7.789236,10,0.686888,56.390069791513724
4.593619,6,0.707307,32.66721917765372
4.594016,6,0.730905,32.67764767112271
5.163024,7,0.749747,37.564719397222035
7.789236,10,0.775464,56.390069791513724
6.548235,9,0.804692,48.00187746762671
5.330701,7,0.832712,38.09352358803051
7.789236,10,0.865619,56.390069791513724
5.163024,7,0.891457,37.577855776396916
5.163024,7,0.916087,37.58366766383898
4.593857,6,0.935016,32.67336157516627
5.163024,7,0.957355,37.583856249636284
4.592941,6,0.974671,32.65126321372642
7.789236,10,0.999633,56.390069791513724
5.352412,7,1.018902,38.13117951084763
5.327843,7,1.038181,38.08541676352084
4.594478,6,1.054757,32.69132279123906
7.789236,10,1.082053,56.390069791513724
6.570052,9,1.113504,48.11986562373639
7.789236,10,1.1405,56.390069791513724
5.163024,7,1.16034,37.57941367675082
4.594413,6,1.1804,32.68928069183943
4.593219,6,1.203326,32.65757648061498
4.59446,6,1.220465,32.69075076390999
5.163024,7,1.237945,37.574791242564146
5.364914,7,1.256431,38.21819581385816
5.364655,7,1.279458,38.216523833308344
7.640875,10,1.303277,55.033202191229634
5.163024,7,1.329741,37.58237941463776
7.789236,10,1.355605,56.39006979151375
7.789236,10,1.38275,56.390069791513724
4.594581,6,1.40375,32.69473872654501
7.567422,10,1.43751,54.902428294179714
8.584322,11,1.473082,62.04362670462024
5.330271,7,1.496082,38.09026106248311
5.163024,7,1.519673,37.58178152870465
5.163024,7,1.537958,37.576908834207586
5.364798,7,1.563339,38.21745059659685
7.789236,10,1.590703,56.390069791513724
4.59304,6,1.613759,32.653494319970065
5.369626,7,1.638394,38.261435772506644
5.327892,7,1.657833,38.0845475037556
4.329147,6,1.674196,32.12550964468343
6.556591,9,1.698614,48.036754054122554
7.789236,10,1.727598,56.390069791513724
4.594644,6,1.745088,32.69689392313424
5.350262,7,1.769418,38.11526449323674
4.594478,6,1.790239,32.69132599381538
7.789236,10,1.815722,56.390069791513724
5.163024,7,1.834172,37.56547444984494
6.548498,9,1.856295,48.00330897505219
7.789236,10,1.894347,56.390069791513724
4.593555,6,1.911811,32.66563731993742
7.789236,10,1.94769,56.390069791513724
5.163024,7,1.968441,37.57557647163557
6.558911,9,1.994189,48.0598691107912
5.163024,7,2.014131,37.5711933145534
5.351018,7,2.034215,38.12088213640891
7.608524,10,2.058495,54.623518005073294
5.332576,7,2.077922,38.107650348606086
7.647715,10,2.102296,54.96412034874055
5.360497,7,2.122364,38.18876251167006
6.550009,9,2.147011,48.01154295053857
7.567493,10,2.170707,54.90239028093919
7.789236,10,2.195771,56.39006979151375
5.163024,7,2.218405,37.5787481268508
4.593453,6,2.236419,32.66314044150971
5.163024,7,2.265074,37.57759384765811
4.593059,6,2.282051,32.65392110726063
5.369283,7,2.301471,38.26739866645207
4.59444,6,2.319482,32.69010839890413
7.789236,10,2.34871,56.390069791513724
4.593405,6,2.368187,32.66197943542946
