#{"t_start": 1707686973.045723, "env_id": "highway-v0"}
r,l,t,distance_covered
172.088638,238,0.686502,-149.70147264593342
173.727042,240,1.340704,-145.555911636357
173.423284,240,1.98655,-144.54537118836365
93.23032,128,2.411756,217.33178026553585
172.701998,239,3.049475,-151.3648521469817
173.006944,239,3.643766,-148.0527163607962
174.154351,240,4.240485,-146.31260820771755
172.877393,239,4.876178,-147.32319552558437
172.691388,239,5.476755,-148.2059669246918
173.581849,240,6.086355,-145.30517795113178
172.899381,239,6.688805,-144.4647322821613
173.447345,239,7.370307,-144.75154178120337
173.405527,239,7.967998,-147.86552827100192
173.726185,240,8.569774,-145.669369258837
173.009773,239,9.174564,-147.6534732554825
173.420204,239,9.81067,-151.04180744609653
93.365457,128,10.168207,217.4620367523529
173.423616,240,10.805496,-144.50126455934435
173.421968,239,11.442638,-150.81035725712985
173.442051,239,12.022384,-145.47602113343382
93.224457,128,12.33986,216.61177157662496
173.428463,239,12.926674,-149.94095564760968
173.417311,240,13.621212,-145.32566428729575
172.874529,239,14.31067,-147.71909597144963
172.894867,239,14.941005,-145.0425882905852
172.688938,239,15.574728,-148.5336552006945
172.873568,239,16.188997,-147.85275750491883
173.588347,240,16.811107,-144.44903888618785
174.130296,240,17.423414,-146.8058958439311
173.014861,239,18.036905,-146.93445311726904
173.412327,239,18.652475,-149.443792259469
173.423989,239,19.230762,-148.0682980357798
173.576827,240,19.864303,-145.95277046644833
173.573348,240,20.476284,-146.3946885251538
174.130564,240,21.081507,-146.7698673215396
173.72272,240,21.697271,-146.12179371155992
173.747259,240,22.263146,-147.46607543918137
93.36642,128,22.628678,215.35083386497115
173.746797,240,23.25369,-147.52567824731682
172.68971,239,24.024386,-148.4308425780022
173.580612,240,24.773424,-145.4637800771199
172.767902,238,25.476264,-149.54928072607703
172.89981,239,26.081931,-144.4089308810433
173.426626,239,26.732829,-150.19038587107434
174.154188,240,27.313172,-146.33440225981929
93.36393,128,27.632476,217.26580620034713
174.150264,240,28.211121,-146.85697935507028
173.727337,240,28.876073,-145.51669977164184
172.883573,239,29.545274,-146.49633697187642
172.069521,238,30.229716,-149.59278804402544
173.588027,240,30.817481,-144.4926430882595
93.369438,128,31.12068,215.7366669159212
93.777274,129,31.442121,214.66426533505438
173.422633,239,32.203657,-145.38878272778777
173.425522,239,32.937468,-150.33845016253346
173.400734,240,33.492437,-147.38520299377498
93.374145,128,33.799738,216.34000853893878
174.125263,240,34.396928,-147.4831436159008
173.400048,239,35.09628,-148.6705900306789
174.14362,240,35.719533,-144.98604502445676
173.034778,239,36.30819,-144.28522285687313
173.408044,239,36.883919,-150.07312244286547
174.131274,240,37.462366,-146.67436662643095
93.371702,128,37.8432,216.02666249055417
173.402171,239,38.488075,-150.8866097163441
173.735126,240,39.118134,-144.47888613990094
93.772878,129,39.528317,214.1459342213991
93.369811,128,39.921757,215.78444686077526
93.233901,128,40.239366,215.63059150963423
173.423313,239,40.857647,-145.29514106918242
93.362276,128,41.232727,217.0534021461726
93.965304,129,41.570774,215.75305603720437
173.586549,240,42.148973,-146.97865836233
93.230309,128,42.477775,215.19110403230917
173.41482,240,43.173739,-145.64083130441202
173.589102,240,43.779842,-144.34467278972303
173.449566,239,44.487104,-144.45227425533145
173.401386,239,45.169869,-148.47367912836805
93.781933,129,45.499414,215.21433548445592
173.015913,239,46.08292,-146.79057051397737
172.699721,239,46.67312,-151.6417417442302
172.876552,239,47.243636,-147.43847243802375
173.442426,239,47.850001,-145.42468448028825
93.377279,128,48.17314,216.74225563930972
172.898925,239,48.892362,-144.52408551475057
93.231614,128,49.198696,215.35065559825082
173.42368,240,49.815881,-144.49273817125064
172.699927,239,50.481947,-147.08223260437626
172.701847,239,51.168716,-146.8341355496435
172.789712,238,51.851074,-149.13871821174945
173.43987,239,52.498808,-145.77756843086544
173.422818,239,53.187502,-148.2362638326254
172.869807,239,53.791606,-148.3680877023206
172.884992,239,54.388917,-146.30744703604856
173.445096,239,55.031697,-145.05676321628465
173.396686,239,55.600292,-151.61923916017594
174.157212,240,56.204392,-145.92935896181635
173.436168,239,56.774766,-146.30675005211899
173.418492,240,57.381929,-145.1771707750523
173.417169,239,58.018244,-146.1552179210889
