#{"t_start": 1707687960.1705275, "env_id": "highway-v0"}
r,l,t,distance_covered
45.046167,49,0.12554,368.5339711260771
44.722996,49,0.240448,364.0636308013816
44.7822,49,0.360884,365.60270170807837
44.112112,48,0.470629,360.55845367388605
44.782103,49,0.582976,365.59509031498635
44.723489,49,0.695664,364.0824478629346
44.051077,48,0.806764,360.397424417323
44.766545,49,0.922527,365.6397363796525
45.06295,49,1.032333,368.5355134999826
43.986204,48,1.148835,359.410355443584
44.723678,49,1.260581,364.0888047919011
45.062936,49,1.386118,368.5356231498656
44.950121,49,1.494277,367.62287822192536
44.723723,49,1.609187,364.0902728632805
43.986279,48,1.71218,359.4238686295737
44.985101,49,1.823043,368.494317154785
44.051303,48,1.944923,360.4865088506143
44.950322,49,2.062768,367.6197741415508
44.111762,48,2.186558,360.57222622582344
44.112087,48,2.293229,360.5590929810903
44.723819,49,2.415574,364.09325472177915
44.967537,49,2.532489,367.6152973461036
45.046231,49,2.652325,368.5324925513896
44.11228,48,2.761639,360.55278054060204
44.950481,49,2.875319,367.6172933899086
44.742965,49,2.987716,364.15378586775853
44.72339,49,3.09714,364.0790007533385
45.046027,49,3.220642,368.5373369087695
44.984859,49,3.329601,368.6058430584345
44.72319,49,3.459528,364.07164621934317
44.782762,49,3.567413,365.63209766030303
44.051341,48,3.680458,360.5069364600026
44.76679,49,3.796125,365.63823666246486
44.111983,48,3.916853,360.5632922434649
44.741911,49,4.040975,364.1354513983856
44.723408,49,4.152244,364.07967364893256
44.112079,48,4.267648,360.55985233865437
44.724035,49,4.375636,364.09983743037503
44.766673,49,4.49424,365.63934812915727
43.986198,48,4.598612,359.4071392399127
44.782664,49,4.716073,365.6286845206564
43.986311,48,4.831789,359.4272391956875
43.834001,48,4.950119,357.6237058877354
44.05102,48,5.064891,360.3809742720729
44.950168,49,5.18238,367.6221768180734
44.723032,49,5.303784,364.06518560090814
43.833473,48,5.427942,357.62425043703433
44.72395,49,5.553029,364.09733401945243
44.051037,48,5.66874,360.3854388129254
44.112172,48,5.778634,360.5562716071695
44.782275,49,5.89646,365.6081244314624
44.051338,48,6.009039,360.50481729466856
44.742001,49,6.131135,364.1372819120604
44.767543,49,6.249513,365.62402726487846
44.051437,48,6.365571,360.575510263149
44.984827,49,6.479848,368.6194344465313
44.743058,49,6.594527,364.15501901464364
44.111697,48,6.714514,360.5751307475479
44.111858,48,6.825527,360.56841183602546
44.111819,48,6.952029,360.57003388462704
44.98496,49,7.059568,368.53935106226874
44.984957,49,7.175635,368.5406512754189
45.045927,49,7.311039,368.54024426179603
44.743082,49,7.437381,364.1553329140114
44.723522,49,7.556761,364.0836280313274
44.984824,49,7.668338,368.61838766365827
44.051024,48,7.782357,360.38193917749885
44.112211,48,7.894783,360.55472704979456
44.111692,48,8.008891,360.57542056575284
44.724217,49,8.121754,364.10522545406474
45.04612,49,8.235155,368.53523284677135
43.833624,48,8.369858,357.623306286115
44.967319,49,8.481705,367.6185903995015
44.985016,49,8.599019,368.5175139593855
44.985108,49,8.711246,368.492677869535
44.984814,49,8.838326,368.6124935614548
44.766721,49,8.961004,365.6389676209753
44.984849,49,9.080795,368.61351398661293
44.950031,49,9.21067,367.6242092578994
44.741418,49,9.32423,364.1240113701874
44.767053,49,9.44618,365.633822282757
43.986286,48,9.555142,359.42468911970536
43.833329,48,9.66484,357.62550865055823
44.743515,49,9.793658,364.16083857655553
45.06297,49,9.909606,368.53484033877004
44.742067,49,10.041423,364.1387261362273
43.986315,48,10.145869,359.42758452917576
44.767189,49,10.27916,365.63095214390796
44.111997,48,10.424727,360.5628106875016
44.984817,49,10.54233,368.61454357312346
44.743146,49,10.666136,364.15626891010515
44.984908,49,10.779016,368.5678371151804
44.723576,49,10.902788,364.08537644955373
44.051334,48,11.008219,360.5031442401936
44.112097,48,11.117979,360.55883831559777
44.051466,48,11.227616,360.60210707092966
44.782643,49,11.344009,365.62781526010383
44.051441,48,11.45989,360.5789471349426
43.986193,48,11.568061,359.4014861381502
44.76747,49,11.69679,365.6252869729468
