#{"t_start": 1707687914.6300201, "env_id": "highway-v0"}
r,l,t,distance_covered
128.208677,354,0.896311,-168.3865419618362
128.134529,354,1.87373,-168.08679308439875
128.546182,354,2.77371,-168.60560580079638
128.208407,354,3.624006,-168.4372083913186
128.928243,355,4.48563,-164.59461809451795
128.535932,354,5.367089,-170.64577461775698
128.558092,354,6.389535,-162.6612397931581
128.596476,354,7.28349,-168.29977904529824
129.345152,355,8.197791,-164.5206187905839
128.579411,354,9.128888,-169.22024642938385
128.142125,354,10.046715,-166.6713459685498
128.928661,355,10.967815,-164.51958398694939
128.835825,355,11.881512,-167.76310546673432
128.588514,354,12.807505,-163.90639606680404
128.591104,354,13.766605,-163.38590312698503
128.57936,354,14.649775,-169.23028987215315
128.862757,355,15.597207,-166.0843915102989
128.515314,354,16.482,-171.2999757784331
128.611555,354,17.387506,-161.88744039399683
127.843853,354,18.283168,-172.2938915541377
128.538726,354,19.16073,-170.08869557346543
128.934758,355,20.076947,-163.4171909474937
128.597113,354,21.065232,-168.17578768574108
128.606374,354,21.998004,-169.77879763903312
128.552029,354,22.839917,-163.88818662716514
127.928576,354,23.736764,-171.91732464959532
127.887575,353,24.665986,-167.63288072417086
129.32269,355,25.598881,-165.48632706646333
128.547671,354,26.760593,-168.30801867358397
128.20308,354,27.619049,-169.4404476378837
128.547476,354,28.442064,-161.2488115338423
128.206916,354,29.264035,-165.40724200806548
128.606178,354,30.082292,-166.4090216171593
128.615283,354,30.990723,-164.61714907112088
128.573215,354,31.867927,-170.4335554353647
