#{"t_start": 1707687547.9788952, "env_id": "highway-v0"}
r,l,t,distance_covered
44.051169,48,0.131723,360.4297644995626
44.723999,49,0.250996,364.0988760103942
44.724026,49,0.356563,364.0996200664036
44.051223,48,0.459266,360.4503609727323
44.111746,48,0.574873,360.573062541678
44.111881,48,0.705712,360.5675675452373
44.985076,49,0.835951,368.5002985673409
44.96729,49,0.986525,367.6189591236512
44.782527,49,1.13167,365.6226990827914
44.016516,48,1.249586,359.6290433297884
44.051199,48,1.385718,360.44119235081445
44.051037,48,1.494102,360.385403154963
44.949914,49,1.609832,367.62542943494816
44.111981,48,1.725204,360.5633574264856
44.782231,49,1.831493,365.60503106454297
44.742794,49,1.949838,364.1512501480203
44.782585,49,2.067102,365.6254013352242
45.045835,49,2.189397,368.54285717353935
44.723628,49,2.307304,364.0871225460639
44.766762,49,2.419758,365.6385684484652
43.833295,48,2.534369,357.625845942993
44.723664,49,2.659828,364.08832102159363
44.051158,48,2.776803,360.42584490117923
44.766786,49,2.891458,365.63826881270006
44.782014,49,3.004705,365.5871800686417
44.051435,48,3.126553,360.57369001161726
44.741991,49,3.240791,364.13715274742873
45.046118,49,3.350482,368.5353126116433
44.767175,49,3.462492,365.63128560209884
44.985015,49,3.579336,368.518099630176
44.74123,49,3.688282,364.1191201210835
44.72374,49,3.797969,364.09083056613014
44.950169,49,3.903038,367.6221110396482
44.985043,49,4.019618,368.5093219247763
44.95002,49,4.133142,367.6242795934236
43.986195,48,4.24754,359.40490779792935
45.045834,49,4.3757,368.54292432907033
44.949875,49,4.483488,367.62578161502154
45.045677,49,4.592777,368.54742850492727
44.741887,49,4.722255,364.1348786439235
44.949872,49,4.851213,367.62590196148267
44.742821,49,4.959252,364.151757615261
44.111612,48,5.063129,360.5789647160679
44.743536,49,5.174929,364.1609259191957
44.950284,49,5.285458,367.62024096925256
44.741922,49,5.396902,364.13573255050625
44.782539,49,5.502346,365.6232753115658
44.984953,49,5.605661,368.54266164668155
45.046016,49,5.720305,368.53781680257936
45.04575,49,5.837202,368.5452416889494
44.051378,48,5.960752,360.5293403410004
44.967605,49,6.098016,367.61416727742943
44.722974,49,6.215917,364.0626727901223
44.74136,49,6.357132,364.12241287326225
44.051429,48,6.482504,360.5686721505911
43.833664,48,6.595907,357.6231558770021
44.724096,49,6.745903,364.10172150532213
44.743026,49,6.9019,364.1543870457006
44.051115,48,7.056071,360.4100385633251
44.743389,49,7.195898,364.15920828198125
44.949903,49,7.329808,367.6255695019472
43.986219,48,7.448607,359.41478894860614
43.986227,48,7.635283,359.4164942665205
45.062982,49,7.776424,368.534669260584
44.11191,48,7.984709,360.5662998208702
43.986195,48,8.106092,359.4053064155331
44.766645,49,8.231017,365.6394932933099
44.051324,48,8.358597,360.49736985597133
44.051175,48,8.469308,360.4318861260361
44.051261,48,8.572124,360.4665869072256
44.743206,49,8.678019,364.1569768887395
44.723555,49,8.795064,364.0846675059245
43.986201,48,8.914145,359.4092081398197
45.04614,49,9.022395,368.5348767643667
45.045926,49,9.13121,368.54035889652096
44.984955,49,9.243424,368.54220242651775
44.724346,49,9.356832,364.1089147515884
44.742314,49,9.465621,364.1432807122938
44.051398,48,9.568505,360.54427698801146
44.05135,48,9.673435,360.5119418588911
43.833476,48,9.781321,357.6242200400517
43.833486,48,9.890502,357.62414094322924
43.986194,48,9.994776,359.4044382534104
43.986218,48,10.099015,359.4143935669715
44.743002,49,10.203866,364.15423180103676
44.950284,49,10.314696,367.6205478747512
44.743044,49,10.424474,364.1547776152059
43.789598,48,10.526654,356.0636682329112
44.723355,49,10.63063,364.0777549941513
44.051353,48,10.740472,360.51405200874075
44.051169,48,10.844703,360.4295954148963
44.723131,49,10.955577,364.06918177140784
45.062933,49,11.061374,368.53579766561955
44.950018,49,11.169308,367.6243470516153
43.986239,48,11.286131,359.41862942696787
44.741182,49,11.403934,364.1177502752239
44.051183,48,11.510966,360.43502389696863
44.051294,48,11.611493,360.48178517406546
44.051034,48,11.721627,360.3846846149049
44.723106,49,11.839105,364.06827364336715
