#{"t_start": 1707687635.1561902, "env_id": "highway-v0"}
r,l,t,distance_covered
191.985335,355,0.968112,-166.25753422024863
191.961704,355,1.884532,-164.8568674708765
191.204554,354,2.870777,-166.74991873210695
191.203119,354,3.837094,-170.54191719320536
190.523519,353,4.67317,-167.93026479022402
190.558044,353,5.47717,-166.8854013154859
190.878286,354,6.566522,-167.83283235921382
191.283792,354,7.731135,-160.79619198325864
191.212378,354,8.569834,-161.6057924107846
191.551084,354,9.375429,-160.52274082204693
191.20003,354,10.189365,-171.15866958449368
191.157624,355,11.006721,-169.7890661257319
191.274872,354,11.808547,-162.54572692931862
190.844081,354,12.632621,-172.2466445880048
191.164074,355,13.577761,-168.65813100333867
190.545192,353,14.369818,-167.07440353596806
191.270777,354,15.174455,-170.2131980745188
190.84424,354,15.994454,-172.21372010403675
191.257128,354,16.832355,-167.03645705011382
191.212217,354,17.685639,-165.1987937575282
191.231906,355,18.494392,-169.984524544468
191.529515,355,19.314423,-166.06823903177192
191.224762,354,20.125262,-162.66064053784635
191.986871,355,20.924606,-165.9630892508509
190.543463,353,21.748107,-167.42181258932237
191.207101,354,22.575694,-169.7486134383821
190.876861,354,23.447257,-168.10103816922987
191.500631,355,24.267665,-168.09177106340778
190.557929,353,25.160798,-166.9079167676391
190.544745,353,26.043085,-167.16401941663653
191.274249,354,26.863677,-169.54679249749594
191.207628,354,27.672484,-169.64348215709248
191.262187,354,28.478303,-168.4848783416092
191.595975,355,29.298884,-164.4029911793067
191.220596,354,30.105352,-163.50414847982165
191.528532,355,30.911579,-160.4069849466481
191.263408,354,31.724818,-168.24781799271244
191.162556,355,32.542079,-168.92419458301055
191.278341,354,33.342555,-165.32839370551545
191.926424,355,34.150387,-164.55755452285058
190.8769,354,34.952275,-168.093907102949
191.921075,355,35.787605,-165.611078736114
191.591046,355,36.62649,-165.28887097550518
190.87178,354,37.495544,-169.05740917302947
191.221382,354,38.35631,-163.34537233061408
191.213442,354,39.193619,-161.3906110518016
191.272795,354,40.041848,-169.82603226326466
191.270229,354,40.882884,-166.92087475774576
191.251752,354,41.71575,-171.54466978850263
190.866799,354,42.549496,-166.6840915906067
191.21985,354,43.473078,-163.65502782889106
191.249295,354,44.27734,-168.58643074474995
191.990845,355,45.092634,-165.20072263336425
190.476159,353,45.951162,-166.74777314905614
191.565915,355,46.850759,-166.66363795803318
191.526414,355,47.701302,-160.78700449626493
191.246948,354,48.631309,-169.04954398197688
191.180496,354,49.523706,-171.60782734808433
190.877774,354,50.366834,-167.92951103425395
191.527613,355,51.35668,-163.25963665123925
191.213371,354,52.239929,-164.96529634186075
190.880951,354,53.144491,-167.3288845472923
191.274952,354,54.058083,-162.53026991620186
191.27992,354,54.9654,-165.01703300359353
190.880567,354,55.89403,-167.4016206746731
190.880821,354,56.830526,-167.3534728834975
191.181729,354,57.667922,-171.35227096057272
191.276149,354,58.577945,-162.29519840899692
191.99089,355,59.455095,-165.19208202347863
191.51563,355,60.361238,-165.40650237809652
191.208584,354,61.267035,-165.93594138273843
191.208915,354,62.197395,-165.86925435728403
191.550161,354,63.069458,-160.7080954013211
190.873171,354,63.985096,-165.48441007841836
191.270175,354,64.858473,-166.9314815197911
191.252843,354,65.82265,-167.8854689809336
191.231259,355,66.657535,-170.10337086343193
191.214128,354,67.638764,-161.25161060952738
191.990744,355,68.527997,-165.22013738992848
191.256342,354,69.380658,-167.1923589648192
190.545543,353,70.242726,-167.0036372987756
191.159882,355,71.060407,-169.39253826666942
191.259224,354,71.89039,-166.61951258291703
190.546056,353,72.806607,-166.9006725822613
191.213033,354,73.668705,-168.56906658034373
191.585536,355,74.52827,-160.38587720702816
190.547051,353,75.390944,-166.70080399086254
191.204685,354,76.259038,-170.2297511202181
190.795572,354,77.112065,-165.86263267101842
191.206139,354,78.003224,-166.4307726932605
191.240012,354,78.826296,-170.40826331712532
191.242423,354,79.666951,-169.93630969212902
191.262581,354,80.509373,-165.9490963695395
190.553627,353,81.3409,-167.75346015942426
191.591155,355,82.170545,-165.2690211630662
191.57729,355,82.982995,-167.77291136973895
191.533927,355,83.791503,-162.13043971846625
191.271161,354,84.591273,-160.6973486824284
191.157841,355,85.406828,-169.75094331480707
191.246751,354,86.215519,-169.08810266869222
