#{"t_start": 1707689147.141845, "env_id": "highway-v0"}
r,l,t,distance_covered
440.740195,451,2.632442,3481.928496872844
35.648252,38,2.871836,260.778262060421
26.602395,30,3.056975,198.1602764673869
436.290825,451,5.6953,3485.470346509122
438.192894,451,8.348636,3484.413538291409
438.47849,452,11.229873,3491.2285430565635
437.716103,451,13.955862,3481.2619200284707
437.992447,451,16.617768,3489.788210997888
438.767774,451,19.378269,3480.145290444202
439.782445,451,22.063763,3486.450479925685
29.646156,32,22.222322,214.2976071172729
439.100128,452,25.074433,3487.564726026971
436.387804,451,28.001689,3481.218094430043
28.467137,32,28.239831,213.71970122236706
442.364287,451,31.033099,3488.7772503476467
439.742929,452,33.762366,3491.8645510277906
28.483366,32,33.989758,213.73712728516554
436.404796,451,36.649434,3483.874337466242
28.468755,32,36.884538,213.64512630841256
440.343877,452,39.854257,3492.2092797901655
439.801042,451,42.612862,3485.7017746077436
21.724658,24,42.731587,152.05747835812699
434.07186,451,45.367472,3483.4990817477055
441.744437,452,48.145204,3487.285825067939
28.483126,32,48.32922,213.74631344130293
26.602524,30,48.554965,198.15343263090716
28.468437,32,48.7658,213.6612988246925
28.467529,32,48.991463,213.70324410749313
435.476553,452,51.791048,3489.1518013300606
443.008257,452,54.571003,3489.3484716049434
26.602363,30,54.76769,198.16194858386928
28.467776,32,54.956583,213.69236779376786
438.138435,451,57.65536,3484.5785255139317
437.757165,451,60.342571,3485.428439575553
28.467045,32,60.516932,213.72340755659474
28.483242,32,60.772505,213.74189845553386
435.960391,451,63.449207,3485.469015945129
23.552977,26,63.627817,166.74898578081311
440.409078,452,66.220064,3488.347569546174
28.467015,32,66.386744,213.72464104455105
28.467848,32,66.574339,213.6891279294118
437.986905,451,69.32582,3491.683485271589
23.694858,26,69.518393,167.6794582349138
71.953329,77,70.029876,561.68196449274
23.696318,26,70.170763,167.45771053326632
438.992861,452,72.905432,3483.8752709773826
26.602299,30,73.066786,198.16525915137743
441.983,450,75.831545,3478.572161528423
29.646208,32,76.055711,214.33777609668286
438.186714,451,78.730931,3486.11056303875
438.181517,452,81.377589,3491.3252444676764
28.483416,32,81.59987,213.73520065256392
437.799384,451,84.301884,3484.1400887352934
26.602628,30,84.48301,198.1539909696399
28.466893,32,84.680633,213.72952057226655
436.089492,451,87.609087,3484.3196919463344
27.662914,30,87.887622,198.81039530041355
21.733953,24,88.105235,152.39698987780318
28.469698,32,88.417253,213.64780674053748
438.829678,451,91.219797,3485.335643453503
434.855014,450,94.042521,3482.1281064214827
26.602501,30,94.251485,198.15466160880078
25.731796,28,94.462602,183.1966707840264
437.659072,451,97.357044,3485.7961731741307
23.714691,26,97.504144,168.10617852152953
433.616193,450,100.036676,3479.2118127749814
441.33512,452,102.466625,3485.786716837296
437.139094,451,104.842136,3485.7419063866455
29.702166,32,105.032462,215.3501589329544
28.46689,32,105.199416,213.72966453496514
441.566481,450,107.68284,3478.193954745494
437.049203,452,110.048322,3485.408994585349
97.989669,103,110.606965,759.8259780810195
80.810236,87,111.138597,636.6664310717622
21.537719,24,111.316865,150.8560746009483
436.078745,451,113.649911,3483.230889587284
438.532009,451,116.048193,3483.77698866297
434.910691,451,118.52318,3482.1174745410235
435.409674,451,120.913937,3482.8760640888395
28.483324,32,121.12021,213.7387523912815
29.637369,32,121.271868,213.80364204109256
23.532752,26,121.437288,166.29987301570876
437.588863,451,123.805134,3481.8198339659966
26.602495,30,123.957004,198.1550286165595
28.468756,32,124.16381,213.64508336934756
439.191998,451,126.377395,3486.1913252323316
436.219508,450,128.722844,3480.1840241505606
21.726065,24,128.878979,151.91100795998452
28.467438,32,129.020374,213.70711110835168
439.296847,451,131.343572,3481.065698609386
433.681428,450,133.543369,3484.013927592851
435.706182,451,135.863469,3483.919241924332
440.014602,452,137.966031,3488.607282426413
100.686839,107,138.458476,793.6003386994876
441.733121,451,140.707634,3483.5006862308005
433.38867,450,143.314612,3482.4779157774256
23.531611,26,143.439403,166.2747782623264
435.604931,450,145.955526,3478.13183880653
439.122536,451,148.259472,3483.127032092744
439.696628,452,150.584122,3488.3736714234983
