#{"t_start": 1707690448.0186865, "env_id": "highway-v0"}
r,l,t,distance_covered
522.064276,535,4.015858,4144.479928664414
47.361822,51,4.413672,368.26876304490884
133.911628,138,5.488373,1049.80284706171
57.25266,61,5.970636,441.2484375509689
577.312866,589,10.33102,4563.569131088491
591.411969,607,14.819214,4703.236296597336
33.215369,36,15.116135,251.75610940631267
30.344822,34,15.361761,238.27490883010262
121.409955,130,16.375636,987.140898159494
125.359663,134,17.435879,1018.1345079932348
135.861648,140,18.474984,1065.4243244294296
506.830196,518,22.427958,4009.818449105165
120.39309,129,23.344948,979.116742933488
548.275985,563,27.727304,4361.965432134666
49.614511,53,28.134433,383.2932692355166
44.087229,47,28.502585,334.9011501237483
584.509145,600,33.308645,4651.273798481605
532.676021,548,37.581965,4239.834663482745
553.243458,570,41.852604,4415.956287228512
48.053275,51,42.182507,370.48332158362837
471.498995,488,45.894727,3776.7391683298774
525.376588,541,50.125765,4188.871197682202
500.714417,514,54.050655,3978.8384201878057
123.393391,132,55.085584,1002.8968457795622
466.82692,482,58.705816,3731.289599678538
52.115547,56,59.128459,408.8533926397823
121.510279,130,60.207787,987.2741547953991
581.676486,597,64.764019,4621.581623587964
49.340352,53,65.13556,385.16561906330844
501.611775,511,69.153881,3956.6636853996342
30.452404,33,69.392667,229.54224516784876
562.546119,574,73.874843,4447.76277964474
499.992741,515,77.989327,3988.679948501458
125.276615,134,79.22962,1018.5492623118453
552.113677,563,83.392792,4363.404646447662
95.867206,101,84.166762,756.2747661119502
131.260268,140,85.318746,1065.6094178370902
626.178827,636,89.95806,4930.784430214236
38.133437,41,90.232531,292.1866711249092
115.59331,124,91.202851,940.0271807101116
567.149206,582,95.571063,4505.998474463185
469.281105,483,99.08895,3736.542482464557
595.592646,612,103.80884,4739.24937384922
127.26005,136,104.874008,1034.247514853358
58.028005,61,105.370162,448.51350532461487
57.91789,62,105.916274,454.43333653354557
33.313401,36,106.180361,251.6708933398078
509.612544,521,110.192879,4033.7603814373906
109.999323,118,111.023125,892.5200391501187
32.309945,35,111.299763,245.22265994513748
642.22622,659,116.249424,5098.1278551266
583.514084,595,120.728947,4614.512550526541
616.525918,631,125.621179,4889.690900962112
523.281427,538,129.708752,4163.841704315823
567.775846,584,134.081868,4521.780519600311
553.916109,571,138.381265,4420.496453192312
491.311862,501,142.223497,3879.352532219489
492.332218,508,146.111402,3932.054536224683
31.064086,34,146.399661,236.06833878869634
32.310305,35,146.63833,245.2331589262465
46.103252,49,147.076951,354.84733052528867
43.075371,46,147.480062,327.46482501712694
51.581187,55,147.927358,398.95703097181035
579.880266,592,152.467653,4581.472616034031
49.245163,53,152.897694,383.90715446102683
512.497849,526,157.052963,4074.345489829921
537.330791,550,161.074456,4260.0001537571925
61.231824,65,161.612433,477.43568231406465
111.709994,120,162.516089,908.4974761380737
80.282879,87,163.230611,651.6873854439644
544.530144,556,167.280357,4303.828706709608
657.743685,671,172.435477,5195.379975521107
43.006094,46,172.836615,327.5098688183425
53.421858,57,173.320747,412.63412991885815
52.584567,56,173.795744,408.09979727271
601.466156,616,178.867174,4775.563943536558
517.912675,529,183.028535,4096.5645083040345
571.395689,583,187.829249,4512.3763948415135
125.24298,134,188.905026,1018.3223443520744
53.904144,57,189.346781,417.42549894700244
526.326578,542,193.634579,4197.391382766193
58.894034,63,194.095917,461.6700252522321
113.743523,122,195.048841,924.407432225154
567.1287,577,199.254774,4467.654308297454
46.784327,50,199.557494,360.95180917769164
533.826408,549,203.810209,4254.128218091321
34.310768,37,204.126593,260.8832016162691
592.181005,606,208.736644,4685.1905022383835
527.097742,541,213.001435,4187.285548592649
582.397768,596,217.373668,4619.98338342552
566.213782,578,221.801258,4479.45754394983
537.128639,547,225.863639,4234.567718487491
113.676653,122,226.805251,924.282222410916
33.87822,37,227.05301,258.12650174921146
507.715607,524,231.133303,4055.23166749796
621.366157,636,235.895509,4927.846968915961
577.882148,594,240.463667,4596.347717863218
44.900937,48,240.812135,345.2405311308552
30.462685,33,241.112329,229.50294480908696
76.549579,83,241.729863,620.4439385626165
