#{"t_start": 1707692064.6426806, "env_id": "highway-v0"}
r,l,t,distance_covered
226.712716,237,1.412573,1744.8975156330832
54.242292,58,1.718576,440.07644297130844
54.211884,58,2.094275,440.08000623054346
54.211975,58,2.509505,440.77043956166426
187.746694,199,3.821837,1461.4108923781064
54.243261,58,4.185592,440.07807080182357
54.141825,58,4.569484,440.35663639597334
54.250058,58,4.936131,440.69804387402235
54.211933,58,5.317663,440.77022448102446
54.212111,58,5.660402,440.77107213217255
54.212276,58,6.002508,440.7716395896829
174.457329,187,7.167457,1367.4398041918191
121.914005,129,8.11313,938.898025634701
398.586615,419,10.728656,3100.143954081924
54.228075,58,11.099667,440.0799201887595
54.141747,58,11.457587,440.3561281411387
390.106599,415,14.020401,3070.2244331633246
54.232826,58,14.39291,440.6932841515934
196.340362,205,15.735694,1506.5198111829702
54.232834,58,16.078791,440.693359056164
54.124802,58,16.460046,440.3533073450233
54.141816,58,16.855512,440.3565804003309
54.19515,58,17.224846,440.76399838438385
150.210579,161,18.206115,1174.5857418911953
55.145637,59,18.482129,448.7704059387853
54.212031,58,18.839086,440.7707118531617
181.285961,189,20.161822,1387.2364260817565
54.211828,58,20.545083,440.0799148358659
54.141821,58,20.918408,440.35661069545347
54.212084,58,21.270675,440.77095764147265
54.212061,58,21.60568,440.7708547541141
54.211918,58,21.976998,440.0800615046761
54.195165,58,22.315815,440.76398514621974
54.228008,58,22.630493,440.0798113731613
302.009777,323,24.740521,2385.944848932156
54.124857,58,25.085654,440.35384357963835
54.227415,58,25.463567,440.0788704538055
133.619977,143,26.270492,1044.6983192659982
55.075242,59,26.619159,448.35599877208153
54.232841,58,26.992337,440.6934320739456
35.098653,38,27.26173,262.23201522535817
54.211955,58,27.632,440.77034026249
54.232755,58,28.02243,440.68667362598467
54.242094,58,28.410512,440.0761494959945
54.212194,58,28.814182,440.7717773742865
263.538073,275,30.58635,2028.0986876414697
380.240968,403,33.006752,2982.1250599469627
54.141704,58,33.369784,440.3558350825197
54.232959,58,33.733781,440.69454348544025
54.242132,58,34.12595,440.0762045999536
54.212281,58,34.534734,440.77162808488987
54.124716,58,34.995517,440.35247490514803
54.228821,58,35.419327,440.77180761730415
54.232957,58,35.830256,440.6945250393167
54.124558,58,36.213496,440.35091837326297
159.505717,169,37.218858,1236.5044269750574
54.196728,58,37.580306,440.0764738726117
224.487352,237,39.068546,1744.7878454425042
208.459928,217,40.751873,1595.935099370671
54.24996,58,41.116443,440.69749839821003
54.141772,58,41.487421,440.3562911037857
54.107837,58,41.844177,440.3440779224887
351.987745,365,44.451096,2698.853411891609
54.212051,58,44.840771,440.0802806320662
54.243341,58,45.239603,440.07821637376446
54.195197,58,45.647367,440.76395129480824
202.060621,213,47.039813,1564.9196640345954
54.2428,58,47.392975,440.07726393121015
447.05947,473,50.484422,3503.6414999003787
218.569469,229,51.918801,1684.5620034924243
54.211641,58,52.318016,440.0796108818307
54.23311,58,52.78517,440.695855833339
55.075254,59,53.213385,448.35607239955704
54.196899,58,53.589679,440.07685793880046
54.141782,58,54.037881,440.356355236062
54.228037,58,54.431131,440.0798575929165
54.232951,58,54.815674,440.69447016193647
54.124692,58,55.373505,440.3522370388348
54.141614,58,55.848538,440.355219360214
54.212019,58,56.306628,440.7706566216326
54.212053,58,56.707396,440.77081696008327
54.212553,58,57.062972,440.08110520345156
374.002967,393,59.656784,2907.4846816883623
54.243347,58,60.065107,440.0782280596462
54.249995,58,60.688535,440.6976945200638
54.249827,58,61.169363,440.69675301669963
441.142758,467,64.607891,3458.9320717649216
54.212586,58,65.063509,440.0811590160034
55.183455,59,65.508585,448.6972299484779
54.242368,58,65.950851,440.0765605866493
54.249794,58,66.436343,440.69656676236815
54.124644,58,66.809048,440.3517654246825
54.141747,58,67.344918,440.35612564473377
54.212133,58,67.808485,440.77116525187955
54.227093,58,68.246553,440.0783798127007
54.211946,58,68.676139,440.7702919964744
54.232764,58,69.068806,440.6867010285092
58.858678,62,69.534695,441.14551209001445
54.212124,58,69.961262,440.771128071871
54.107827,58,70.442018,440.3440119522107
