#{"t_start": 1707735042.2464976, "env_id": "highway-v0"}
r,l,t,distance_covered
5.274147,7,0.029298,36.780446773503314
3.476774,5,0.046968,25.39859158375421
5.274026,7,0.073641,36.7794145760877
6.00955,8,0.099285,41.425669481363684
5.274469,7,0.122882,36.78319274568199
0.797417,2,0.13688,9.753585962168472
5.273817,7,0.161639,36.77762865966784
6.022674,8,0.186524,41.391993290294806
6.905128,9,0.213517,46.03117332414439
3.476757,5,0.23148,25.398441056049677
0.797417,2,0.242512,9.753585530050117
6.903841,9,0.27392,46.01742184725728
3.476777,5,0.292647,25.39861035595223
0.797417,2,0.302449,9.753588066137922
0.797417,2,0.313041,9.753584263496293
3.476757,5,0.329041,25.3984399725031
6.903267,9,0.351599,46.01128819874285
5.273746,7,0.368604,36.77702456729591
3.47677,5,0.382568,25.39855464835705
3.476758,5,0.395648,25.398454340247582
6.015159,8,0.41476,41.47896979584141
4.073891,6,0.43256,28.725664842985083
5.27419,7,0.453154,36.78080678455473
6.052899,8,0.475817,41.83671615486742
0.797417,2,0.487754,9.753584078728494
3.476762,5,0.504271,25.398487159798492
3.476764,5,0.522264,25.398505021980867
6.00736,8,0.543824,41.40485784297837
0.797417,2,0.551826,9.753583595947958
0.797417,2,0.559825,9.75358423369508
7.848867,10,0.583215,52.56680861190176
0.797417,2,0.591037,9.753584588330114
6.90719,9,0.612032,46.053212536852385
4.08318,6,0.628658,28.614984130014648
4.991048,7,0.650941,35.45074881021293
7.861526,10,0.680039,52.655094729530504
0.797417,2,0.690257,9.753583172769964
5.274036,7,0.713413,36.77949190320035
5.27407,7,0.735173,36.779786211878104
0.797417,2,0.74384,9.753586674418784
6.007329,8,0.764348,41.404558987295644
5.273962,7,0.782902,36.77886708156373
6.020663,8,0.80193,41.37286622331945
5.27432,7,0.818197,36.78191496885648
3.476758,5,0.832244,25.398450017505297
4.07862,6,0.847392,28.772392328238055
0.797417,2,0.8561,9.75358277343301
3.47677,5,0.870484,25.39855285884218
3.476766,5,0.884322,25.398523652857165
5.274142,7,0.902644,36.78039957944415
7.847846,10,0.927644,52.55949992723265
3.476757,5,0.941059,25.39844639620253
3.476769,5,0.952644,25.39854545099567
6.062051,8,0.970676,41.92326064407334
0.797417,2,0.977677,9.753583497603785
3.476755,5,0.988684,25.39843022165678
3.476762,5,1.001195,25.39848585500343
7.839751,10,1.020282,52.501292888951724
7.836214,10,1.041534,52.47571245404097
5.003065,7,1.059885,35.54337029817148
0.797417,2,1.068553,9.753587592297777
4.10867,6,1.084634,29.07049096288415
7.838496,10,1.10941,52.49222497769097
3.476773,5,1.125775,25.398579915992798
0.797417,2,1.13415,9.75358475819732
5.274412,7,1.151287,36.78270230711533
5.274393,7,1.169384,36.782545022260905
3.47676,5,1.182935,25.398471608328066
5.274144,7,1.199809,36.78041726685066
0.797417,2,1.207808,9.75358623932027
0.797417,2,1.215546,9.753585455546954
3.476765,5,1.230172,25.398514320885226
5.273656,7,1.249673,36.776253754134956
0.797417,2,1.259339,9.753583196611004
0.797417,2,1.269346,9.753587523754845
4.101238,6,1.288398,28.996569366173617
5.273651,7,1.30976,36.77620982078585
4.083361,6,1.329055,28.61792009038666
5.274304,7,1.348547,36.781782723848636
6.058265,8,1.369651,41.8874634782718
3.476759,5,1.383402,25.3984616854666
6.901228,9,1.403474,45.989496996218435
5.274298,7,1.421163,36.78173287386613
0.797417,2,1.429008,9.753588620441434
5.273893,7,1.449567,36.77827316561627
5.274452,7,1.471778,36.783044152939794
4.975311,7,1.493056,35.32913961860149
3.476759,5,1.510642,25.398458680084133
7.84872,10,1.541992,52.56575569879365
5.273943,7,1.560545,36.77870001211696
0.797417,2,1.569592,9.75358338137886
3.476766,5,1.583208,25.398521697953896
4.084419,6,1.598806,28.829759521997374
0.797417,2,1.607205,9.753585112832411
0.797417,2,1.614769,9.75358905553992
4.986918,7,1.631492,35.418866590011646
4.97265,7,1.651494,35.30854300097556
7.85725,10,1.679649,52.62649442129407
7.834997,10,1.709209,52.46689247241423
0.797417,2,1.719087,9.75358363468959
