#{"t_start": 1707734848.226511, "env_id": "highway-v0"}
r,l,t,distance_covered
137.492193,200,0.76197,160.83265920678818
137.543813,200,1.42426,163.19508341514316
137.534683,200,2.197044,159.8782513509064
137.500694,200,2.839077,167.27313464453724
137.547935,200,3.549078,165.33982336366518
137.517326,200,4.295415,161.724388259685
137.929368,200,4.93082,156.65326279866292
137.531236,200,5.728637,166.16740264154384
137.709394,200,6.376347,160.8800071502434
137.500901,200,7.116322,165.10052796378898
137.896451,200,7.8606,159.12857122761417
137.531088,200,8.521965,168.0440214467132
137.517689,200,9.242243,163.49616061146781
137.484042,200,9.938549,167.36175980804796
137.500968,200,10.646448,164.4661597090632
137.517948,200,11.315282,161.80762606868865
137.929379,200,11.999072,156.68813591481427
137.517683,200,12.700823,163.5533975205273
137.583315,200,13.35017,163.17849637130809
137.547959,200,14.129192,165.07350935634298
137.517675,200,14.849339,163.62205396561376
137.547725,200,15.51208,168.14400192073563
137.518251,200,16.27224,161.84831209815775
137.518055,200,16.974636,159.7681011927164
137.669751,200,17.814858,161.0883541690743
137.564694,200,18.610801,164.15591263171336
137.766008,200,19.361593,160.16861651446948
137.564692,200,20.121857,164.17822120181003
137.913033,200,20.762839,158.3115842571254
137.547804,200,21.518035,167.02180014717757
137.929333,200,22.169164,156.53899748245152
137.517857,200,22.88442,161.7147024629223
137.978365,200,23.60951,152.05256845102025
137.56475,200,24.292967,163.31119177698142
137.547686,200,25.020377,168.5861802627241
137.547853,200,25.666265,166.48070681110715
137.496674,200,26.425614,158.28375527112485
137.49665,200,27.097151,158.4499499103413
137.543866,200,27.786844,163.20228280289453
137.537662,200,28.483195,162.12697700360545
137.929381,200,29.132591,156.69436891373775
137.896689,200,29.891652,160.34975523035732
137.54773,200,30.559098,168.08296255136412
137.50298,200,31.255847,162.50632822624988
137.496668,200,31.983539,158.32492644783716
137.896741,200,32.627331,160.56956855725915
137.635625,200,33.382415,162.34242563193044
137.927799,200,34.076939,152.7603863543925
137.534689,200,34.7997,159.8175529079038
137.531234,200,35.482218,166.1811795506637
137.51347,200,36.14265,156.91947097979335
137.945891,200,36.871116,155.6865122199991
137.547876,200,37.510736,166.2188474575297
137.479681,200,38.242644,161.2283140545105
137.929401,200,38.907835,156.76240580846843
137.479701,200,39.581671,161.09888971099562
137.530376,200,40.335189,154.35526845965452
137.518311,200,40.986665,161.85639222498097
137.517547,200,41.732484,161.75396219266864
137.913004,200,42.410998,158.20409223277994
137.513443,200,43.085127,157.06749421303783
137.517489,200,43.796525,165.62051889614196
137.530277,200,44.461801,155.38237419631878
137.548205,200,45.203014,162.25151073486632
137.496581,200,45.799461,161.4118859096746
137.531079,200,46.565042,168.14556496223975
137.547702,200,47.294124,168.40268285290477
137.564806,200,47.977916,162.71947324729376
137.547971,200,48.717751,164.94913986602887
137.531232,200,49.360408,166.20604135185425
137.531094,200,50.115936,167.97914868119705
137.50098,200,50.784409,164.35666628682444
137.564843,200,51.478489,162.32876361541332
137.500888,200,52.180401,165.22443171465736
137.944173,200,52.813907,151.71587589770044
137.547738,200,53.577254,167.99562077954323
137.496629,200,54.251539,158.5955803901945
137.51354,200,54.986165,156.39687707735308
137.94584,200,55.640994,155.5288699957214
137.500951,200,56.296229,164.62688223960927
137.530385,200,57.057086,154.28159934636014
137.500948,200,57.735667,164.66061664318457
137.479752,200,58.484612,160.75858383297742
137.564692,200,59.176074,164.1835854422651
137.547872,200,59.851531,166.26926050521365
137.945867,200,60.594825,155.61287815539487
137.547647,200,61.26023,169.040854979917
137.548041,200,62.027586,164.2455262736745
137.722707,200,62.650598,159.86314325432988
137.547971,200,63.334484,164.94523878671689
137.513355,200,64.045736,158.00545185962145
137.978626,200,64.691898,153.00571334524565
137.670791,200,65.424423,161.24366406745986
137.513655,200,66.040455,155.26398624782487
137.530397,200,66.779495,154.18528503324458
137.548062,200,67.445884,164.0146449562714
137.50074,200,68.170828,166.88382421311957
137.500699,200,68.887326,167.22544190781318
137.500744,200,69.502642,166.83562679477285
137.617864,200,70.236558,162.41489227475142
