#{"t_start": 1707689894.5694969, "env_id": "highway-v0"}
r,l,t,distance_covered
98.505463,120,0.806975,586.4390929104511
98.551429,120,1.717075,586.6598379303709
98.282763,119,2.566072,583.145163241826
98.323386,119,3.356903,583.3255674833376
98.457297,119,4.10988,583.5005871427581
97.52757,118,4.841531,578.7321718176767
98.503936,120,5.518782,586.4275895150245
97.612466,118,6.276979,578.6636446310124
97.558243,118,6.97724,578.7336916830103
98.375404,119,7.734436,583.4878815570444
98.345488,119,8.417434,582.9097025095537
98.361832,120,9.103146,585.7527075062272
97.646348,118,9.797709,578.7932719492702
97.788326,119,10.464117,582.1875790340741
98.356042,120,11.195266,585.7090613188825
98.296517,119,11.84548,583.248709961678
97.812623,119,12.527596,582.2450688078039
98.4145,119,13.239824,583.303838077083
98.361709,120,13.937323,585.7517794254878
98.558389,120,14.725311,586.7122748766668
97.696821,119,15.431605,581.7492907982685
96.983458,118,16.145394,577.5262574591576
97.573618,118,16.831136,578.9534268691891
98.405786,120,17.552903,585.9583835789945
97.770664,119,18.23403,582.0545004217413
98.323388,119,18.933805,583.2217995154042
96.846137,118,19.54156,576.8879641638058
98.346835,119,20.177864,583.502109610093
98.428441,120,20.897097,586.129164467757
98.43251,119,21.576777,583.4394266513493
97.521001,118,22.355954,578.6827126902313
98.419218,119,23.05213,583.692221203072
97.820041,119,23.678623,582.3009575416753
97.575706,118,24.429384,578.9691440642849
98.424656,119,25.122434,583.3803011824325
98.393451,119,25.825573,583.1453682875953
97.521348,118,26.515727,578.6853261194124
97.833431,119,27.263484,582.4018504066539
97.815163,119,27.956429,582.264209113278
97.520849,118,28.686405,578.6815664758067
98.329518,119,29.345772,583.3717318203019
98.456809,119,30.062663,583.4969097844362
97.567314,118,30.7528,578.8019593117639
97.568614,118,31.535106,578.9157530972876
98.499584,120,32.193457,586.3947962126442
98.550571,120,32.882501,586.6533748115921
97.615754,118,33.67378,578.6883905067656
97.621519,118,34.364968,578.7317822519818
98.41681,119,35.068276,583.3212289772098
99.170672,120,35.795401,587.7242140397259
98.402193,119,36.505222,583.2111791140741
98.38257,119,37.215017,583.645686999902
98.348207,119,37.963849,582.9301706175744
97.572426,119,38.642739,581.2080549780602
97.654748,119,39.33647,581.5773246012413
97.56153,118,40.028875,578.7584306403655
98.341006,119,40.825627,583.458220395902
98.344569,119,41.672821,583.4850508973298
99.133038,120,42.668229,587.9194802043398
98.531276,120,43.390098,586.5080015187808
98.366141,119,44.128773,583.0651924283984
98.351765,119,44.927205,582.9569639170948
98.390874,119,45.833066,583.1259684878295
97.584939,118,46.609567,579.0386629314131
97.569219,118,47.495697,578.9203062044564
97.703051,119,48.352293,581.7962318823331
98.410715,119,49.197598,583.275337935093
98.460024,119,49.938151,583.5211135842123
97.538916,118,50.626126,578.8175899837815
98.406294,119,51.457697,583.2420607427232
98.558758,120,52.312981,586.7150595721773
98.355753,119,52.994608,583.3399872211982
97.529534,118,53.739463,578.7469527099101
98.555928,120,54.623259,586.6937354925956
98.403949,120,55.387391,585.9445399485621
98.398438,120,56.222256,585.9029970577742
97.573323,118,56.940297,578.9512010868639
98.400451,119,57.438592,583.1980704729293
98.413627,120,57.793346,586.0174941010191
96.972008,118,58.160398,577.4399854749217
98.390159,119,58.527871,583.1205845883933
98.307335,119,58.883434,583.1009857863071
97.5692,118,59.188025,578.9201639963135
98.559784,120,59.530867,586.7227900708888
97.710222,119,59.963275,581.8502611668491
97.540693,118,60.390221,578.8309716376802
97.769896,119,60.678926,582.0487161217844
97.780918,119,60.976779,582.1317640188606
98.36611,119,61.283512,583.0649618795151
97.580513,118,61.58191,579.0053341643775
99.171374,120,62.042475,587.7295024748074
99.173387,120,62.485684,587.7446549776741
98.301334,119,62.857557,583.0558237942481
97.616315,118,63.225426,578.6926119996976
97.705721,119,63.618508,581.8163505252907
97.608521,118,64.030192,578.6339380303609
97.577164,118,64.417732,578.9801263871954
97.602115,118,64.782864,578.9384904536782
97.823033,119,65.139392,582.3235038836929
98.420927,120,65.540751,586.0725172017094
