#{"t_start": 1707691270.60015, "env_id": "highway-v0"}
r,l,t,distance_covered
18.081436,22,0.130371,109.08788989516489
18.079398,22,0.23569,109.07165255827397
18.330748,23,0.353878,112.51600291763401
17.807037,22,0.502752,108.80145010810006
18.502338,23,0.602044,113.28524386759784
17.225125,21,0.716887,104.16650526285653
18.331652,23,0.814124,112.5228223379682
18.649083,23,0.924946,113.73984096610536
18.083325,22,1.022426,109.10297414018623
18.080924,22,1.134653,109.08381073498225
18.082423,22,1.235133,109.09576689046821
18.081505,22,1.341502,109.088445041934
18.300673,23,1.446018,112.66732157766111
17.668745,22,1.55716,108.28479831683651
18.514277,23,1.655848,113.24999561427586
18.082589,22,1.766178,109.09709178089565
17.671105,22,1.852717,108.30256435763698
17.050909,21,1.945659,104.11429320583983
18.081408,22,2.039868,109.08766737406543
18.327579,23,2.153133,112.49208613376052
17.659178,22,2.252647,108.21273135481806
17.050056,21,2.354894,104.1077600677203
18.754107,23,2.449529,114.01105420865849
17.910061,22,2.547229,109.05678776219168
17.662277,22,2.644784,108.23608540709529
18.0824,22,2.79012,109.09558176007369
18.08369,22,2.918373,109.10589143461127
17.462556,22,3.01904,107.50553617732231
18.303768,23,3.140517,112.69063211480596
17.459305,22,3.248711,107.4810102420478
18.501733,23,3.356215,113.28068825633076
17.897848,22,3.451556,109.09067781476992
16.942838,21,3.54911,103.8214422604947
17.660021,22,3.656053,108.21908309197013
17.668265,22,3.755592,108.28118170053554
17.222593,21,3.843524,104.14627180160531
18.082272,22,3.949132,109.09456589402396
17.896832,22,4.046687,109.08287423823253
17.806405,22,4.155827,108.79669619292488
17.908454,22,4.240703,109.04447199434924
18.651189,23,4.350106,113.75573807957178
16.943341,21,4.433119,103.82523457147468
18.082219,22,4.547016,109.0941372873524
17.667701,22,4.6373,108.27693940342562
17.224162,21,4.749761,104.15880407031759
17.671046,22,4.862783,108.30212291677293
17.050481,21,4.96714,104.11101073344346
18.328936,23,5.060704,112.50233150267198
18.330203,23,5.177271,112.51189509858997
18.299451,23,5.288427,112.65811173842641
16.942405,21,5.389278,103.81818638645828
17.051283,21,5.483744,104.11716031924675
17.464275,22,5.589329,107.51851164162011
18.082279,22,5.694434,109.09461778108664
18.325401,23,5.800115,112.60265071383691
18.650717,23,5.911962,113.75217959788438
17.805961,22,6.022004,108.79335495813444
17.224791,21,6.12198,104.16383459672684
17.910203,22,6.23135,109.05788032110519
18.082659,22,6.333818,109.0976485561495
17.896477,22,6.431406,109.0801461390902
18.081888,22,6.527284,109.0914938945682
17.222424,21,6.634265,104.14491773162413
18.326405,23,6.734036,112.48321980175785
18.302906,23,6.845861,112.68413485340466
18.499327,23,6.947554,113.26254736420202
18.082039,22,7.053819,109.09269884733146
17.806325,22,7.140417,108.79609006368315
17.805351,22,7.266483,108.78876425343333
17.896934,22,7.37871,109.08365851238887
17.808159,22,7.481105,108.80989527605237
17.661635,22,7.582448,108.23124492495029
17.802712,22,7.680076,108.76890007582887
17.807019,22,7.784785,108.80131716484962
17.895099,22,7.877736,109.06957561438156
18.651187,23,7.975364,113.75572686197822
17.050627,21,8.072124,104.11213404728483
18.650409,23,8.168154,113.74985128908807
17.66612,22,8.270503,108.26503068067893
18.651511,23,8.371028,113.75816971390262
17.801162,22,8.465248,108.75721369436997
17.907486,22,8.565386,109.03705076033947
17.656464,22,8.670089,108.19227488889027
17.049858,21,8.754351,104.106239217233
18.083011,22,8.866448,109.10046073033189
17.466232,22,8.962937,107.53327459045019
17.798934,22,9.073148,108.74041758618787
18.083959,22,9.185268,109.10803959192296
17.896458,22,9.296272,109.07999912724969
17.051136,21,9.396475,104.11603527962808
18.500198,23,9.513586,113.26911417270622
18.081216,22,9.615283,109.08613445406354
18.08415,22,9.718376,109.10956858051071
17.897392,22,9.813599,109.08717107384999
17.664148,22,9.918842,108.25018553304386
18.082205,22,10.017273,109.09402989192276
17.460602,22,10.123415,107.49079862777373
17.051013,21,10.21406,104.11508832346672
18.079564,22,10.319852,109.07297524508073
17.909732,22,10.411453,109.05426674930592
