#{"t_start": 1707692701.7595744, "env_id": "highway-v0"}
r,l,t,distance_covered
16.331626,21,0.082068,97.30844483426057
16.110418,21,0.142172,96.74948827507356
15.548981,20,0.199304,92.94147865054143
16.101219,21,0.253592,96.80350169474625
15.315659,20,0.307268,92.30274753069821
16.10357,21,0.358715,96.6990389364203
16.477692,22,0.409065,98.78036771410316
15.940118,21,0.463221,95.86095105062287
15.680293,21,0.522527,94.270304447126
15.327225,20,0.582013,92.38787175222333
15.321623,20,0.633507,92.34665046345663
15.130646,20,0.706213,91.3010575907102
15.553249,20,0.766042,92.97563678690128
15.917729,21,0.818512,95.6934446907789
15.144377,20,0.875659,91.40374354796398
15.555872,20,0.933589,92.99664945139267
16.209216,21,0.98773,97.26478525270892
15.436895,20,1.039104,92.8587357979124
16.477193,22,1.103507,98.77602353545481
16.110801,21,1.171798,96.7523099605018
15.440467,20,1.219601,92.88533310477467
15.441614,20,1.268004,92.89388184757914
14.908392,20,1.325706,89.98748916951595
16.210103,21,1.383094,97.27142548536844
16.099052,21,1.433484,96.78754927961216
15.444663,20,1.487945,92.9166055736465
16.099677,21,1.551526,96.6703539864601
16.102238,21,1.608731,96.81100138127337
16.328329,21,1.657309,97.28211100511149
15.140434,20,1.713308,91.37426271120748
15.43763,20,1.774243,92.86420857760075
16.213053,21,1.831466,97.29351371713912
16.219084,21,1.880749,97.21414252316765
15.443136,20,1.946704,92.90522478824556
15.916846,21,2.012764,95.68683355113151
15.550547,20,2.05939,92.95400354310036
16.222821,21,2.112655,97.24209432398987
15.555843,20,2.170875,92.99641905465847
15.316381,20,2.224058,92.30806270226438
14.674794,19,2.273575,88.53026612851141
16.481481,22,2.334356,98.81331024327159
16.210247,21,2.397522,97.27250475319184
16.101465,21,2.450974,96.80531558911977
16.102583,21,2.504254,96.69176399124436
16.481166,22,2.569385,98.81057047911304
15.441622,20,2.627268,92.89393610543186
15.317036,20,2.683372,92.31288133739207
16.70818,22,2.75175,100.11099519975517
16.110907,21,2.816946,96.75308926037053
16.215103,21,2.871325,97.30888653252399
14.919246,20,2.91989,89.9402820836005
15.558353,20,2.970759,93.01654287798033
15.918334,21,3.03082,95.69797263839519
15.679754,21,3.083355,94.26560651186577
16.108331,21,3.14269,96.73411868219296
15.318213,20,3.208898,92.32155190221323
15.14405,20,3.263809,91.4012978194998
16.210447,21,3.315564,97.27400109054548
16.330479,21,3.368419,97.29928138993341
15.917584,21,3.429135,95.69235759577953
15.4429,20,3.48086,92.90346474868508
15.68554,21,3.533338,94.31604499549874
15.314213,20,3.590473,92.29209872761439
15.935877,21,3.647287,95.8292279989206
15.449481,20,3.700588,92.8298124004628
15.560329,20,3.752556,93.0324059432576
15.439588,20,3.807971,92.8787862550949
15.696308,21,3.953456,94.41007621017062
15.917812,21,4.070814,95.69406608356627
15.930151,21,4.126953,95.78638747074527
16.329129,21,4.17948,97.28850442987351
15.55659,20,4.233048,93.00240271508017
15.315532,20,4.287673,92.30181322735945
16.221251,21,4.335886,97.23034760493886
16.477071,22,4.392491,98.77496845554703
16.111073,21,4.459342,96.75431769837223
14.907666,20,4.516766,89.9811251990686
15.683801,21,4.568677,94.30088600461892
15.130711,20,4.624934,91.30153978974764
16.11097,21,4.686812,96.75355726241125
16.330905,21,4.740831,97.30268595208875
15.695112,21,4.802606,94.39962562979517
16.104711,21,4.862197,96.7074468153815
15.550511,20,4.918848,92.95371309171324
16.224169,21,4.969999,97.25217970586121
14.909131,20,5.025219,89.99397572217373
15.32516,20,5.090641,92.37268439933135
16.222074,21,5.145745,97.23650697894709
15.927474,21,5.195765,95.76636472878462
15.6984,21,5.247395,94.4283631897838
15.553752,20,5.307219,92.97966235339447
16.100229,21,5.372248,96.79621567083228
15.324067,20,5.42433,92.36463628516597
16.330023,21,5.5019,97.29564331893877
15.938292,21,5.56509,95.84729456918896
16.107989,21,5.61694,96.73159905938368
15.925931,21,5.679274,95.7548179849428
15.697293,21,5.747326,94.4186907334942
16.100492,21,5.804051,96.67635954137654
15.318896,20,5.871158,92.32657878927316
