#{"t_start": 1707688147.6784182, "env_id": "highway-v0"}
r,l,t,distance_covered
28.858047,32,0.078038,228.0221038531628
20.400473,23,0.132353,159.206505840158
20.400403,23,0.195251,159.0929093161526
28.942041,32,0.264379,228.36830864422456
21.289155,24,0.314094,166.18337011105282
22.31008,25,0.370141,174.49370672731249
27.024316,30,0.44402,212.90295947773254
36.317112,40,0.5263,292.3202166824797
28.890201,32,0.600984,227.2555444552495
20.400409,23,0.653818,159.2713423624415
20.438401,23,0.718,156.79327068712726
20.424851,23,0.777961,157.78209896690757
20.457733,23,0.836348,157.53765030947898
26.04274,29,0.898315,206.12265335733827
27.950438,31,0.964042,221.78774737910925
27.003227,30,1.026317,211.65910214221898
30.724727,34,1.107483,244.91177406072393
26.083771,29,1.181467,205.7272934369315
23.375875,26,1.242478,182.54766041591256
27.98615,31,1.337913,220.45792557898093
32.637901,36,1.420278,259.0699271104071
23.237646,26,1.479486,182.5291918820293
28.917291,32,1.549363,229.50780851140902
22.309577,25,1.620652,174.17065336276278
23.255369,26,1.68992,181.03871202291108
22.340547,25,1.763346,173.21581132387712
18.55047,21,1.816237,143.3812432001725
27.075821,30,1.901973,214.51374188409028
29.803468,33,1.980771,236.0073214399209
297.267274,310,2.618737,2400.888858864989
28.85046,32,2.698954,229.29314804777965
15.689252,18,2.745991,118.72561687328255
29.808525,33,2.822358,235.81692689852957
27.003008,30,2.884696,211.87683111724903
28.889707,32,2.957129,227.39497311546
20.438479,23,3.007624,156.88564884770403
26.993549,30,3.087243,213.5371285207089
22.324235,25,3.150665,173.54546678345577
28.817074,32,3.215397,228.5402243639161
28.87707,32,3.280725,229.97135883582115
26.054499,29,3.342324,204.27597985661768
29.810297,33,3.425193,237.23150542333593
26.043296,29,3.492631,205.65760326669007
22.30439,25,3.565613,174.07962762104273
26.087205,29,3.643674,205.755669237686
22.287734,25,3.698409,174.26930965832813
22.30967,25,3.773139,174.34443720151123
22.3101,25,3.838445,174.5881989277426
19.450513,22,3.898014,151.16761861960202
22.309461,25,3.961248,174.44396177784418
27.88398,31,4.041816,221.39747551510453
32.571938,36,4.134717,259.85782357263224
28.910679,32,4.225778,228.70309764050384
22.309632,25,4.293229,174.2837700755619
25.167084,28,4.370965,198.20586045233281
17.641309,20,4.424178,134.61897538452268
28.88972,32,4.497365,227.44142521458025
22.325425,25,4.555125,173.13621076290525
20.421299,23,4.611199,158.07018034626157
26.034002,29,4.677591,205.83279520325056
28.883802,32,4.752116,229.9311614717682
28.854676,32,4.831825,228.02572123116596
30.756283,34,4.904189,244.8234300479342
21.323706,24,4.966276,165.7651387126301
34.536516,38,5.046424,275.2209724209099
22.327169,25,5.104618,174.47917995129632
20.457712,23,5.163877,157.44627113801383
28.908416,32,5.246953,228.56480264165467
20.373681,23,5.3074,158.2440203159889
19.467309,22,5.370819,150.65787533330388
29.754592,33,5.44997,236.5804094697881
26.060386,29,5.517296,205.76156769106043
21.333765,24,5.580647,166.36874279511807
23.186687,26,5.641789,181.6175279556131
25.202988,28,5.707995,196.26945235164166
26.091874,29,5.775455,204.82912869482342
47.803101,52,5.893836,384.9335526708086
27.937275,31,5.966598,219.5255460445501
24.210286,27,6.027384,190.18384638455655
22.303828,25,6.085241,172.4678951180776
22.324236,25,6.141975,173.53149810226796
28.872541,32,6.220858,227.43704279953772
26.041204,29,6.280111,204.73704177398596
20.37365,23,6.329093,157.94488778348955
21.303761,24,6.390376,166.306044507132
22.291931,25,6.450391,173.02482547848356
22.29191,25,6.50516,173.03357476538974
36.374871,40,6.609263,291.42936543630753
26.98797,30,6.684136,212.45002301293758
15.689265,18,6.732286,118.72293170763044
22.320406,25,6.792095,172.6605760036187
22.304323,25,6.850435,172.41297749629382
25.13377,28,6.920794,197.88616852463596
21.300356,24,6.971429,166.41505718056652
20.383926,23,7.031692,158.79380987237786
21.390357,24,7.091067,165.5153126653958
41.137863,45,7.217184,330.1378266309014
28.853857,32,7.284214,228.5296920921951
22.310014,25,7.352748,174.52104393815063
20.436847,23,7.403753,156.89144794027771
