#{"t_start": 1707688335.8625722, "env_id": "highway-v0"}
r,l,t,distance_covered
247.095237,345,0.863204,-166.47659978450747
248.565605,346,1.691706,-165.5591859682195
247.851716,346,2.539105,-164.51400064769126
246.466831,344,3.411458,-168.4492061763003
247.224507,345,4.277469,-164.25919204768985
247.805367,345,5.128213,-167.7920424572126
247.823939,345,6.003235,-163.35243379320596
246.998123,344,6.837216,-168.2994282614729
248.576883,346,7.683386,-164.1880544453288
247.088508,345,8.524186,-169.29172721723646
247.218774,345,9.351867,-162.6186463777763
247.182987,345,10.199463,-167.40045587677906
247.808138,345,11.051835,-167.44827247094747
247.080059,345,12.285624,-170.30809068304586
246.445357,344,13.086806,-166.70270217924457
247.814426,345,13.840129,-162.45318485685726
247.774924,345,14.59172,-163.346665564078
247.101309,345,15.352326,-167.73044614023004
247.041253,344,16.131763,-168.57372758045625
247.77994,345,16.89138,-162.67108134166884
247.803864,345,17.650777,-167.97637431266048
246.359031,344,18.454447,-167.59978725292402
247.75098,345,19.212943,-170.5333182817945
247.223127,345,20.076858,-164.43767933830244
247.810658,345,20.898899,-167.13491623538195
246.466793,344,21.662493,-168.45421259416506
247.805053,345,22.470345,-165.75456696763473
247.027216,344,23.349534,-166.5351286492867
246.362768,344,24.18655,-167.1190191870935
247.753561,345,25.025048,-166.2608895798047
247.180612,345,25.811496,-165.6711415680512
247.792989,345,26.587301,-169.30353171660312
247.076733,345,27.381708,-170.70837175341575
247.207483,345,28.192054,-161.94223965843284
247.204588,345,28.997545,-164.6771714983771
247.778211,345,29.795995,-165.16368521558374
247.137132,345,30.621868,-160.89298470764373
248.572749,346,31.522719,-164.70872176072112
246.469008,344,32.342741,-168.16731363132783
247.788934,345,33.225629,-163.68253701289822
247.778348,345,34.233703,-171.12672416448837
247.024714,344,35.113667,-166.88094461455725
247.721529,345,36.15141,-170.5187175962741
247.042832,344,36.942051,-168.36522402178275
248.579223,346,37.74137,-163.90954201930992
247.907075,346,38.552451,-165.30506200282943
247.791956,345,39.355853,-169.42996852236354
247.04333,344,40.136578,-168.29924041579642
247.862183,345,40.936119,-164.77413962887306
246.471886,344,41.719936,-165.38259717088607
247.805571,345,42.521098,-161.42087830569508
247.081685,345,43.337731,-170.11322655516244
247.859655,345,44.113905,-165.0938041497882
247.025217,344,44.916135,-166.81124036140872
247.08081,345,45.729335,-170.21808274935572
247.183294,345,46.53741,-167.3630763465574
247.729942,345,47.376005,-169.40533333185118
246.387714,344,48.173551,-166.01141306651084
248.568882,346,48.958396,-165.16941142836475
248.53193,346,49.74362,-165.609296605957
247.853615,345,50.543324,-163.79190409609177
247.828262,345,51.369221,-166.95620869557763
247.841082,345,52.162206,-161.12498713103923
247.120027,345,52.961947,-165.3982372112921
248.495731,346,53.738029,-165.95936153467545
247.085839,344,54.536092,-166.90671390193648
247.002336,344,55.338735,-167.7166700436051
247.161739,345,56.15825,-169.9962728549136
247.204518,345,56.984411,-164.68586068351436
247.20905,345,57.808917,-161.73906797897553
247.767699,345,58.592547,-168.4420697173128
248.513934,346,59.377027,-163.64534495120924
246.361995,344,60.194601,-167.21831598799886
248.563945,346,60.97091,-165.75767334619158
247.800966,345,61.738421,-166.28460975174485
247.781204,345,62.495751,-164.7498576300737
247.09974,345,63.264025,-167.9187174614614
247.713098,345,64.020644,-171.61142594258476
247.764512,345,64.787236,-166.9910487386406
246.998005,344,65.542811,-168.31575205533946
247.224691,345,66.326015,-164.23564973232754
247.789688,345,67.075226,-169.7081394758607
247.840626,345,67.854275,-161.1836298040646
247.805137,345,68.61922,-167.82031431124764
247.841183,345,69.374149,-165.31828599051332
247.784903,345,70.136923,-162.00475771191105
248.50039,346,70.904807,-165.3730938906857
247.212149,345,71.66987,-163.4767073154835
247.20513,345,72.435313,-162.24846254739901
247.219304,345,73.214257,-160.42819345326842
247.157465,345,73.975775,-170.53239983262358
248.544169,346,74.745134,-164.13715895111062
248.491181,346,75.518308,-166.55071137462136
247.13493,345,76.295607,-161.16787685522732
247.179728,345,77.060358,-165.78205953910143
248.502221,346,77.849585,-165.14217536746725
247.876206,345,78.636716,-160.8921364260109
247.83071,345,79.465336,-166.64676642308982
247.136367,345,80.260184,-160.98864188652993
247.738762,345,81.106816,-168.25938694482397
